PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40078861,Environmental Impact and Sustainability Associated with the Practice of Dermatology.,2025,N/A,N/A,N/A
40078452,Environmental impact of colorectal cancer screening with colonoscopy and multi-target stool DNA (mt-sDNA) testing.,2025,Rebecca Alcock; Chris Estes; Jeff Bartels; Jason Lester; Vahab Vahdat; Paul J Limburg,"Exact Sciences Corporation, Madison, WI 53719, United States.; Exact Sciences Corporation, Madison, WI 53719, United States.; Exact Sciences Corporation, Madison, WI 53719, United States.; Exact Sciences Corporation, Madison, WI 53719, United States.; Exact Sciences Corporation, Madison, WI 53719, United States.; Exact Sciences Corporation, Madison, WI 53719, United States.",N/A
40077369,Production and Quality Assessment of Fertilizer Pellets from Compost with Sewage Sludge Ash (SSA) Addition.,2025,N/A,N/A,N/A
40077317,"Characterization of Morphological, Thermal, and Mechanical Performances and UV Ageing Degradation of Post-Consumer Recycled Polypropylene for Automotive Industries.",2025,N/A,N/A,N/A
40076534,Electrospinning Synthesis of Nano-Scale MgO Fibers and Their Methylene Blue Adsorption Efficiency.,2025,N/A,N/A,N/A
40076390,Hydrochar from Agricultural Waste as a Biobased Support Matrix Enhances the Bacterial Degradation of Diethyl Phthalate.,2025,Simone Bertoldi; Hermann J Heipieper; Christian Eberlein,"Department of Molecular Environmental Biotechnology, Helmholtz Centre for Environmental Research (UFZ), 04318 Leipzig, Germany.; Department of Molecular Environmental Biotechnology, Helmholtz Centre for Environmental Research (UFZ), 04318 Leipzig, Germany.; Department of Molecular Environmental Biotechnology, Helmholtz Centre for Environmental Research (UFZ), 04318 Leipzig, Germany.",N/A
40076248,Essential Oil from ,2025,Leandro Rocha; Hellen F da Silva; Francisco P Machado,"Department of Pharmaceutical Technology, Faculty of Pharmacy, Fluminense Federal University, Niterói 24210-346, RJ, Brazil.; Department of Pharmaceutical Technology, Faculty of Pharmacy, Fluminense Federal University, Niterói 24210-346, RJ, Brazil.; Department of Pharmaceutical Technology, Faculty of Pharmacy, Fluminense Federal University, Niterói 24210-346, RJ, Brazil.",N/A
40076208,Green Fabrication of Zinc-Based Metal-Organic Frameworks@Bacterial Cellulose Aerogels via In Situ Mineralization for Wastewater Treatment.,2025,N/A,N/A,N/A
40076162,"Geopolymer-Based Stabilization of Heavy Metals, the Role of Chemical Agents in Encapsulation and Adsorption: Review.",2025,N/A,N/A,N/A
40076120,Advancing Textile Waste Recycling: Challenges and Opportunities Across Polymer and Non-Polymer Fiber Types.,2025,N/A,N/A,N/A
